date,spread,ratevol,fed_mbs_chg,bank_chg,fair_value,residual,crowding_score
2003-01-31,1.9000000000000004,0.07788575271633799,0.0,-13.923999999999978,2.1491864332314528,-0.2491864332314524,43.34958237970679
2003-02-28,2.08,0.038901585229054576,0.0,40.24160000000006,1.7904881903692413,0.28951180963075873,48.61583222700579
2003-03-31,2.08,0.06577016257935173,0.0,-6.358699999999999,2.035029419606589,0.044970580393411286,40.62906026502195
2003-04-30,1.9,0.04859453232029948,0.0,60.566699999999855,1.8894453115920113,0.010554688407988566,52.37692992950921
2003-05-31,1.9399999999999995,0.05278437719809291,0.0,10.404800000000023,1.9151756684710095,0.024824331528989996,49.279327928408556
2003-06-30,1.7000000000000002,0.07166722037438414,0.0,12.877700000000004,2.097220293456071,-0.3972202934560709,52.354272739647456
2003-07-31,1.4500000000000002,0.07794686835091164,0.0,-35.468200000000024,2.143543861596325,-0.693543861596325,58.75433946077729
2003-08-31,1.87,0.08823939299536547,0.0,-38.137500000000045,2.241609871830316,-0.3716098718303158,41.267688024620035
2003-09-30,2.0200000000000005,0.07914122398177456,0.0,-1.2974999999999,2.164893491806649,-0.14489349180664846,39.05587285122806
2003-10-31,1.6100000000000003,0.07098624950684226,0.0,42.865099999999984,2.09935180496403,-0.48935180496402975,55.97868541598847
2003-11-30,1.5499999999999998,0.06660473313654636,0.0,0.5946000000001277,2.0450542279483037,-0.4950542279483039,58.83191205838165
2003-12-31,1.58,0.05536029176911895,0.0,7.576399999999921,1.939094029743541,-0.359094029743541,60.9558725008758
2004-01-31,1.5199999999999996,0.0708149836176071,0.0,3.38149999999996,2.0862905649264563,-0.5662905649264567,58.72010067445913
2004-02-29,1.5899999999999999,0.04311667448966452,0.0,61.74189999999999,1.8371819314903732,-0.24718193149037337,64.39161305895712
2004-03-31,1.5400000000000005,0.061473958869164166,0.0,24.563300000000027,2.00271453785712,-0.46271453785711936,60.80225386709439
2004-04-30,1.4799999999999995,0.06600144298566915,0.0,-8.876600000000053,2.0365223313670344,-0.5565223313670349,61.257835540371026
2004-05-31,1.6600000000000001,0.05784626587940268,0.0,-14.617299999999886,1.9565492705931162,-0.2965492705931161,57.34855003934531
2004-06-30,1.63,0.06485514995889322,0.0,14.53710000000001,2.0322846414095572,-0.40228464140955733,56.718757985476245
2004-07-31,1.58,0.05749534142619166,0.0,-24.198300000000017,1.950409061952755,-0.3704090619527549,60.06892032883208
2004-08-31,1.6900000000000004,0.051218486246016735,0.0,13.96329999999989,1.9011675450179024,-0.21116754501790203,58.440015839406016
2004-09-30,1.58,0.05408106789590937,0.0,-10.452599999999848,1.9215967569873131,-0.34159675698731307,61.127462951460856
2004-10-31,1.5899999999999999,0.047739371791506564,0.0,-13.77760000000012,1.8597368227098465,-0.26973682270984667,62.464393005370546
2004-11-30,1.3599999999999994,0.045841341291771136,0.0,8.500999999999976,1.8479520797790574,-0.48795207977905797,70.31451593894009
2004-12-31,1.5699999999999994,0.05208966628164773,0.0,12.909000000000106,1.9092285299104126,-0.3392285299104132,62.21704719659884
2005-01-31,1.5200000000000005,0.029912571015577625,0.0,20.692599999999857,1.6985152564947763,-0.17851525649477584,69.5043818619105
2005-02-28,1.33,0.04618802153517079,0.0,20.97720000000004,1.854888672435135,-0.5248886724351349,71.20780061151599
2005-03-31,1.54,0.0559974489214851,0.0,-21.548099999999977,1.936791286198867,-0.39679128619886694,61.833650988280255
2005-04-30,1.5700000000000003,0.04587768416956101,0.0,-9.636399999999867,1.8430566870805318,-0.27305668708053155,63.64894658722523
